"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera"
"Access Time","Thu 2017-02-16 07:22:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0726"
"Records Found","1220"
"Records Returned","1220"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"212883","occ","","","21686","Carollia perspicillata","species","159133","species not entered","Carollia","genus","159133","Holocene","","0.0117","0","4785"
"212884","occ","","","21686","Desmodus rotundus","species","235348","","Desmodus rotundus","species","235347","Holocene","","0.0117","0","4785"
"212885","occ","","","21686","Glossophaga longirostris","species","103143","species not entered","Glossophaga","genus","103143","Holocene","","0.0117","0","4785"
"212886","occ","","","21686","Glossophaga soricina","species","103143","species not entered","Glossophaga","genus","103143","Holocene","","0.0117","0","4785"
"212887","occ","","","21686","Micronycteris nicefori","species","117402","species not entered","Micronycteris","genus","117402","Holocene","","0.0117","0","4785"
"212889","occ","","","21686","Phyllostomus discolor","species","103136","species not entered","Phyllostomus","genus","103136","Holocene","","0.0117","0","4785"
"212890","occ","","","21686","Phyllostomus hastatus","species","103136","species not entered","Phyllostomus","genus","103136","Holocene","","0.0117","0","4785"
"212892","occ","","","21686","Sturnira lilium","species","159135","species not entered","Sturnira","genus","159135","Holocene","","0.0117","0","4785"
"212893","occ","","","21686","Sturnira ludovici","species","159135","species not entered","Sturnira","genus","159135","Holocene","","0.0117","0","4785"
"212894","occ","","","21686","Trachops cirrhosus","species","117401","","Trachops cirrhosus","species","117399","Holocene","","0.0117","0","4785"
"212896","occ","","","21686","Eptesicus furinalis","species","40671","species not entered","Eptesicus","genus","40671","Holocene","","0.0117","0","4785"
"212897","occ","","","21686","Lasiurus ega","species","40675","species not entered","Lasiurus","genus","40675","Holocene","","0.0117","0","4785"
"212898","occ","","","21686","Myotis nigricans","species","40678","species not entered","Myotis","genus","40678","Holocene","","0.0117","0","4785"
"212899","occ","","","21686","Rhogeessa tumida","species","117403","species not entered","Rhogeessa","genus","117403","Holocene","","0.0117","0","4785"
"212902","occ","","","21686","Rhynchonycteris naso","species","159127","species not entered","Rhynchonycteris","genus","159127","Holocene","","0.0117","0","4785"
"212903","occ","","","21686","Noctilio leporinus","species","233610","","Noctilio leporinus","species","104144","Holocene","","0.0117","0","4785"
"212904","occ","","","21686","Noctilio albiventris","species","269558","","Noctilio albiventris","species","269558","Holocene","","0.0117","0","4785"
"212905","occ","","","21686","Micronycteris minuta","species","117402","species not entered","Micronycteris","genus","117402","Holocene","","0.0117","0","4785"
"212906","occ","","","21686","Micronycteris megalotis","species","117402","species not entered","Micronycteris","genus","117402","Holocene","","0.0117","0","4785"
"212907","occ","","","21686","Tonatia minuta","species","269559","species not entered","Tonatia","genus","269559","Holocene","","0.0117","0","4785"
"212908","occ","","","21686","Tonatia venezuelae","species","269559","species not entered","Tonatia","genus","269559","Holocene","","0.0117","0","4785"
"212909","occ","","","21686","Phyllostomus elongatus","species","103136","species not entered","Phyllostomus","genus","103136","Holocene","","0.0117","0","4785"
"212911","occ","","","21686","Myotis albescens","species","40678","species not entered","Myotis","genus","40678","Holocene","","0.0117","0","4785"
"212912","occ","","","21686","Molossops terminekii","species","279373","species not entered","Molossops","genus","279373","Holocene","","0.0117","0","4785"
"212913","occ","","","21686","Molossus pretiosus","species","48788","species not entered","Molossus","genus","48788","Holocene","","0.0117","0","4785"
"212914","occ","","","21686","Eumops bonariensis","species","40694","species not entered","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212915","occ","","","21686","Eumops glaucinus","species","46396","","Eumops glaucinus","species","45958","Holocene","","0.0117","0","4785"
"212916","occ","","","21686","Eumops auripendulus","species","40694","species not entered","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212927","occ","","","21686","Lasiurus borealis","species","47490","","Lasiurus borealis","species","52636","Holocene","","0.0117","0","4785"
"213276","occ","","","21693","Nycteris thebaica","species","103133","species not entered","Nycteris","genus","103133","Holocene","","0.0117","0","4805"
"213277","occ","","","21693","Taphozous mauritianus","species","40637","species not entered","Taphozous","genus","40637","Holocene","","0.0117","0","4805"
"213278","occ","","","21693","Eptesicus capensis","species","40671","species not entered","Eptesicus","genus","40671","Holocene","","0.0117","0","4805"
"213292","occ","","","21693","Rhinolophus clivosus","species","40646","species not entered","Rhinolophus","genus","40646","Holocene","","0.0117","0","4805"
"213303","occ","","","21693","Pipistrellus kuhli","species","40683","species not entered","Pipistrellus","genus","40683","Holocene","","0.0117","0","4805"
"213304","occ","","","21693","Scotophilus nigrita","species","40687","species not entered","Scotophilus","genus","40687","Holocene","","0.0117","0","4805"
"214000","occ","","","21915","Eptesicus capensis","species","40671","species not entered","Eptesicus","genus","40671","Pleistocene","","2.588","0.0117","5214"
"214013","occ","","","21915","Miniopterus schreibersi","species","40676","species not entered","Miniopterus","genus","40676","Pleistocene","","2.588","0.0117","5214"
"214016","occ","","","21915","Rhinolophus capensis","species","40646","species not entered","Rhinolophus","genus","40646","Pleistocene","","2.588","0.0117","5214"
"214137","occ","","","21949","Tadarida sp.","genus","40691","","Tadarida","genus","40691","Pleistocene","Holocene","2.588","0","5248"
"214140","occ","","","21949","Nycteris thebaica","species","103133","species not entered","Nycteris","genus","103133","Pleistocene","Holocene","2.588","0","5248"
"214141","occ","","","21949","Eptesicus capensis","species","40671","species not entered","Eptesicus","genus","40671","Pleistocene","Holocene","2.588","0","5248"
"214142","occ","","","21949","Eptesicus hottentotus","species","40671","species not entered","Eptesicus","genus","40671","Pleistocene","Holocene","2.588","0","5248"
"214143","occ","","","21949","Scotophilus dinganii","species","40687","species not entered","Scotophilus","genus","40687","Pleistocene","Holocene","2.588","0","5248"
"214154","occ","","","21949","Rhinolophus clivosus","species","40646","species not entered","Rhinolophus","genus","40646","Pleistocene","Holocene","2.588","0","5248"
"214171","occ","","","21949","Rhinolophus hildebrandtii","species","40646","species not entered","Rhinolophus","genus","40646","Pleistocene","Holocene","2.588","0","5248"
"214172","occ","","","21949","Miniopterus schreibersi","species","40676","species not entered","Miniopterus","genus","40676","Pleistocene","Holocene","2.588","0","5248"
"214173","occ","","","21949","Myotis tricolor","species","40678","species not entered","Myotis","genus","40678","Pleistocene","Holocene","2.588","0","5248"
"216893","occ","","","22073","Hipposideros commersoni","species","40649","species not entered","Hipposideros","genus","40649","Holocene","","0.0117","0","5324"
"219900","occ","","","22628","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Pleistocene","","2.588","0.781","5653"
"220131","occ","","","22701","Archaeonycteris trigonodon","species","40630","species not entered","Archaeonycteris","genus","40630","MP 11","","48.6","40.4","5671"
"220132","occ","","","22701","Palaeochiropteryx tupaiodon","species","40634","species not entered","Palaeochiropteryx","genus","40634","MP 11","","48.6","40.4","5671"
"220298","occ","","","21340","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Serravallian","","13.82","11.62","4655"
"220535","occ","","","21894","Tadarida sp.","genus","40691","","Tadarida","genus","40691","Holocene","","0.0117","0","5210"
"221108","occ","","","22333","Rhinolophus cf. capensis","species","40646","species not entered","Rhinolophus","genus","40646","Pliocene","Pleistocene","5.333","0.0117","4884"
"221114","occ","","","22333","Eptesicus cf. hottentotus","species","40671","species not entered","Eptesicus","genus","40671","Pliocene","Pleistocene","5.333","0.0117","4884"
"221115","occ","","","22333","Myotis cf. tricolor","species","40678","species not entered","Myotis","genus","40678","Pliocene","Pleistocene","5.333","0.0117","4884"
"221116","occ","","","22333","Myotis cf. welwitschii","species","40678","species not entered","Myotis","genus","40678","Pliocene","Pleistocene","5.333","0.0117","4884"
"221141","occ","","","22339","Nycteris sp.","genus","103133","","Nycteris","genus","103133","Pliocene","","5.333","2.588","4887"
"221154","occ","","","22339","Eptesicus cf. hottentotus","species","40671","species not entered","Eptesicus","genus","40671","Pliocene","","5.333","2.588","4887"
"221164","occ","","","22339","Rhinolophus cf. darlingi","species","40646","species not entered","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","4887"
"221165","occ","","","22339","Rhinolophus cf. clivosus","species","40646","species not entered","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","4887"
"221169","occ","","","22339","Eptesicus cf. bottae","species","40671","species not entered","Eptesicus","genus","40671","Pliocene","","5.333","2.588","4887"
"221170","occ","","","22339","Miniopterus sp.","genus","40676","","Miniopterus","genus","40676","Pliocene","","5.333","2.588","4887"
"221185","occ","","","22341","Eptesicus cf. hottentotus","species","40671","species not entered","Eptesicus","genus","40671","Pliocene","","5.333","2.588","5536"
"221195","occ","","","22341","Rhinolophus cf. darlingi","species","40646","species not entered","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","5536"
"221196","occ","","","22341","Rhinolophus cf. clivosus","species","40646","species not entered","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","5536"
"221198","occ","","","22341","Eptesicus cf. bottae","species","40671","species not entered","Eptesicus","genus","40671","Pliocene","","5.333","2.588","5536"
"221199","occ","","","22341","Miniopterus sp.","genus","40676","","Miniopterus","genus","40676","Pliocene","","5.333","2.588","5536"
"221200","occ","","","22341","Megadermatidae indet.","family","40640","","Megadermatidae","family","40640","Pliocene","","5.333","2.588","5536"
"221220","occ","","","22353","Rhinolophus cf. darlingi","species","40646","species not entered","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","4887"
"223055","occ","","","21502","Scotophilus sp.","genus","40687","","Scotophilus","genus","40687","Pliocene","Calabrian","5.333","0.781","4734"
"223056","occ","","","21502","Nycteridae ? indet.","family","66299","","Nycteridae","family","66299","Pliocene","Calabrian","5.333","0.781","4734"
"223057","occ","","","21502","Nycteris sp.","genus","103133","","Nycteris","genus","103133","Pliocene","Calabrian","5.333","0.781","4734"
"223265","occ","","","21545","Taphozous abitus","species","40637","species not entered","Taphozous","genus","40637","Gelasian","","2.588","1.806","4769"
"223267","occ","","","21545","Hipposideros kaumbului","species","40649","species not entered","Hipposideros","genus","40649","Gelasian","","2.588","1.806","4769"
"223293","occ","","","21546","Taphozous abitus","species","40637","species not entered","Taphozous","genus","40637","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223305","occ","","","21546","Eidolon cf. helvum","species","158500","species not entered","Eidolon","genus","158500","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223306","occ","","","21546","Hipposideros cf. cyclops","species","40649","species not entered","Hipposideros","genus","40649","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223307","occ","","","21546","Hipposideros cf. camerunensis","species","40649","species not entered","Hipposideros","genus","40649","Late Pliocene","Piacenzian","3.6","2.588","4768"
"227031","occ","","","22073","Rousettus aegyptiacus","species","158501","species not entered","Rousettus","genus","158501","Holocene","","0.0117","0","5324"
"227050","occ","","","22073","Miniopterus schreibersi","species","40676","species not entered","Miniopterus","genus","40676","Holocene","","0.0117","0","5324"
"227058","occ","","","22073","Rousettus angolensis","species","158501","species not entered","Rousettus","genus","158501","Holocene","","0.0117","0","5324"
"227059","occ","","","22073","Rousettus sp.","genus","158501","","Rousettus","genus","158501","Holocene","","0.0117","0","5324"
"227111","occ","","","22074","Rousettus aegyptiacus","species","158501","species not entered","Rousettus","genus","158501","Pleistocene","Holocene","2.588","0","5325"
"227131","occ","","","22074","Rousettus angolensis","species","158501","species not entered","Rousettus","genus","158501","Pleistocene","Holocene","2.588","0","5325"
"227132","occ","","","22074","Rousettus sp.","genus","158501","","Rousettus","genus","158501","Pleistocene","Holocene","2.588","0","5325"
"232547","occ","","","18597","n. gen. Karstala n. sp. silva","species","83781","","Karstala silva","species","83781","Hemingfordian","","20.43","15.97","6736"
"277260","occ","","","17476","Phyllostomatidae indet.","family","40654","","Phyllostomatidae","family","40654","Arikareean","","30.8","20.43","7290"
"277281","occ","","","26549","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Hemphillian","","10.3","4.9","7292"
"279063","occ","","","17526","Vespertilionoidea indet.","superfamily","40660","","Vespertilionoidea","superfamily","40660","Monroecreekian","","26.3","24.8","7360"
"287047","occ","","","19514","cf. Eptesicus sp.","genus","40671","","Eptesicus","genus","40671","Late Hemphillian","","10.3","4.9","1295"
"287048","occ","","","19514","Myotis sp.","genus","40678","","Myotis","genus","40678","Late Hemphillian","","10.3","4.9","1295"
"292645","occ","","","27858","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Burdigalian","","20.44","15.97","7625"
"294951","occ","","","28194","Rhinolophidae indet.","family","40644","","Rhinolophidae","family","40644","Late Oligocene","Early Miocene","28.4","15.97","7705"
"339363","occ","","","32052","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Late Pliocene","","3.6","2.588","5595"
"340399","occ","","","32103","Rhinolophus sp.","genus","40646","","Rhinolophus","genus","40646","Ruscinian","","5.333","3.2","8633"
"340421","occ","","","32104","Myotis baranensis","species","40678","species not entered","Myotis","genus","40678","Ruscinian","","5.333","3.2","8633"
"340422","occ","","","32104","Plecotus ? sp.","genus","40684","","Plecotus","genus","40684","Ruscinian","","5.333","3.2","8633"
"340846","occ","","","32145","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Pleistocene","","2.588","0.781","8655"
"341488","occ","","","32180","Myotis n. sp. kretzoii","species","40678","species not entered","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","8666"
"341489","occ","","","32180","Myotis sp.","genus","40678","","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","8666"
"341598","occ","","","32191","informal Chiroptera informal I nov. gen. nov. sp. (Ginsburg 1964)","order","40622","obsolete variant of","Chiroptera","order","40622","Langhian","Serravallian","15.97","11.62","8672"
"341599","occ","","","32191","informal Chiroptera informal II (""Vespertilio"" noctuloides Lartet)(Ginsburg 1964)(Ginsburg 1964)","order","40622","obsolete variant of","Chiroptera","order","40622","Langhian","Serravallian","15.97","11.62","8672"
"341600","occ","","","32191","informal Chiroptera informal III (""Vespertilio"" murinoides Lartet) (Ginsburg 1964)","order","40622","obsolete variant of","Chiroptera","order","40622","Langhian","Serravallian","15.97","11.62","8672"
"341673","occ","","","32192","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Pleistocene","","2.588","0.781","8655"
"341709","occ","","","32195","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Pleistocene","","2.588","0.781","8655"
"341765","occ","","","32194","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Early Pleistocene","","2.588","0.781","8655"
"343559","occ","10306","","32240","Rhinolophus delphinensis","species","91951","","Rhinolophus delphinensis","species","91951","MN 14","","4.9","4.2","8683"
"343560","occ","","","32240","Miniopterus schreibersi","species","40676","species not entered","Miniopterus","genus","40676","MN 14","","4.9","4.2","8865"
"343561","occ","","","32240","Plecotus crassidens","species","53414","","Plecotus crassidens","species","53414","MN 14","","4.9","4.2","8865"
"343562","occ","","","32240","Myotis n. sp. podlesicensis","species","40678","species not entered","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"343563","occ","","","32240","Myotis cf. aemulus","species","40678","species not entered","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"343564","occ","","","32240","Myotis dasycneme","species","40678","species not entered","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"344815","occ","","","32485","Rhinolophus cf. ferrumequinum","species","94475","","Rhinolophus ferrumequinum","species","236716","MN 17","","2.588","1.806","8762"
"344816","occ","","","32485","Myotis cf. exilis","species","40678","species not entered","Myotis","genus","40678","MN 17","","2.588","1.806","8762"
"344817","occ","","","32485","Myotis sp.","genus","40678","","Myotis","genus","40678","MN 17","","2.588","1.806","8762"
